"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"FreeDos","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","12 Go","512 Go SSD","Graphique Intégrée","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Lenovo IdeaPad 3 15ITL6 ",2142,"https://www.tunisianet.com.tn/244123-large/pc-portable-lenovo-ideapad-3-15itl6-i5-11e-gen-12-go-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","8 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Lenovo V15 G2 ITL ",2139,"https://www.tunisianet.com.tn/236462-large/pc-portable-lenovo-v15-g2-itl-i5-11e-gen-8-go-mx350-2g.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","256 Go SSD","Graphique Intégrée","Intel UHD Graphics","15.6""","PC Portable Dell Latitude 3520 ",2118,"https://www.tunisianet.com.tn/250459-large/pc-portable-dell-latitude-3520-i3-11e-gen-24-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3056nk ",2115,"https://www.tunisianet.com.tn/250606-large/pc-portable-hp-15-dw3056nk-i5-11e-gen-16-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","16 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","PC Portable HP 15-dw3057nk ",2115,"https://www.tunisianet.com.tn/250618-large/pc-portable-hp-15-dw3057nk-i5-11e-gen-16-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go","1 To","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Dell Vostro 3500 ",2102,"https://www.tunisianet.com.tn/244480-large/pc-portable-dell-vostro-3500-i5-11e-gen-32-go-noir.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable MSI Modern A11MU ",2098,"https://www.tunisianet.com.tn/245572-large/pc-portable-msi-modern-a11mu-i5-11e-gen-16-go-gris.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"FreeDos","Intel Core i7","Intel Core i7-10750H, ( up to 5 Ghz, 12 Mo de cache )","8 Go","1 To","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","PC portable Lenovo IdeaPad 3 15IML05 ",2089,"https://www.tunisianet.com.tn/246299-large/pc-portable-lenovo-ideapad-3-15iml05-i7-10e-gen-8-go-mx330-noir.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-10750H, ( up to 5 Ghz, 12 Mo de cache )","8 Go","1 To","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","PC portable Lenovo IdeaPad 3 15IML05 ",2089,"https://www.tunisianet.com.tn/254922-large/pc-portable-lenovo-ideapad-3-15iml05-i7-10e-gen-8-go-mx330-2g-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","32 Go","1 To","Graphique Intégrée","Intel Iris X","15.6""","Pc portable HP 15-dw3014nk ",2085,"https://www.tunisianet.com.tn/196235-large/pc-portable-hp-15-dw3014nk-i5-11e-gen-32-go-noir.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
