"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7 3700U , 2,3 GHz up to 4 GHz, 6 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia RTX A2000, 4 Go de mémoire GDDR6 dédiée","15.6""","Station de travail Mobile Dell Precision 5560 Tactile ",11179,"https://www.tunisianet.com.tn/237109-large/station-de-travail-mobile-dell-precision-5560-tactile-i7-11e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","Intel Core i5","Intel Core i5-1035G1 Quad-Core 1 GHz jusqu'à 3.6 GHz Turbo, 8 Threads, Cache 6 Mo","32 Go","2 To SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","14""","PC Portable Lenovo ThinkPad X1 Carbon ",10999,"https://www.tunisianet.com.tn/200292-large/pc-portable-lenovo-thinkpad-x1-carbon-i9-10e-gen-32-go-gtx-1650ti-2-to-ssd.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","14""","Pc portable ASUS Zenbook Pro Duo UX582HM ",8969,"https://www.tunisianet.com.tn/248883-large/pc-portable-asus-zenbook-pro-duo-ux582hm-i9-11e-gen-rtx-3060-6g-32-go-bleu-fonce-screenpad-plus-stylus.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i3","Intel Core i3-10110U 10é Génération, 2.4 Ghz up to 4.1 Ghz, 4 Mo de mémoire cache ","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable MSI GE76 Raider 10 UG ",8849,"https://www.tunisianet.com.tn/198208-large/pc-portable-msi-ge76-raider-10-ug-i7-10e-gen-32-go-rtx-3070.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","64 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8729,"https://www.tunisianet.com.tn/252670-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-64-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8489,"https://www.tunisianet.com.tn/252691-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-48-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia Quadro T2000, 4 Go de mémoire GDDR5","15.6""","Pc Portable de travail Dell Precision 5550 ",8399,"https://www.tunisianet.com.tn/206360-large/pc-portable-de-travail-dell-precision-5550-i9-10e-gen-32-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8249,"https://www.tunisianet.com.tn/252676-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-32-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","Pc portable HP OMEN 17-ck0002nk ",8229,"https://www.tunisianet.com.tn/237059-large/pc-portable-hp-omen-17-ck0002nk-i9-11e-gen-32-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","PC Portable Lenovo ThinkPad X1 YOGA GEN 6 ",8199,"https://www.tunisianet.com.tn/256856-large/pc-portable-lenovo-thinkpad-x1-yoga-gen-6-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","13.3""","Pc Portable Dell XPS 13 9310 2en1 ",8149,"https://www.tunisianet.com.tn/228537-large/pc-portable-dell-xps-13-9310-2en1-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1035G1 Quad-Core 1 GHz jusqu'à 3.6 GHz Turbo, 8 Threads, Cache 6 Mo","24 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","PC Portable HP OMEN 17-ck0006nk ",8124,"https://www.tunisianet.com.tn/252682-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-24-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","14""","Pc portable ASUS Zenbook Pro Duo UX582LR ",7999,"https://www.tunisianet.com.tn/206530-large/pc-portable-asus-zenbook-pro-duo-ux582lr-i7-10e-gen-rtx-3070-16-go-bleu-fonce-screenpad-plus-stylus.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidea GeForce RTX 3080, 16 Go de mémoire dédiée","17.3""","Pc portable HP OMEN 17-ck0006nk ",7999,"https://www.tunisianet.com.tn/252693-large/pc-portable-hp-omen-17-ck0006nk-i9-11e-gen-16-go-rtx-3080-16g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","AMD Ryzen 7","AMD Ryzen 7 3700U , 2,3 GHz up to 4 GHz, 6 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable MSI Leopard GP76-10UG ",7723,"https://www.tunisianet.com.tn/198197-large/pc-portable-msi-leopard-gp76-10ug-i7-10e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","PC Portable Lenovo ThinkPad X1 Carbon ",7389,"https://www.tunisianet.com.tn/256796-large/pc-portable-lenovo-thinkpad-x1-carbon-i7-11e-gen-16-go-1-to-ssd.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","12""","PC Portable Lenovo ThinkPad X12 Amovible Gén 1 ",6999,"https://www.tunisianet.com.tn/256813-large/pc-portable-lenovo-thinkpad-x12-amovible-gen-1-123-i7-11e-gen-noir.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","2 To","Nvidia GeForce","Nvidia Quadro P2000, 5 Go de mémoire dédiée","15.6""","Station de travail Mobile Dell Precision 7530 ",6767,"https://www.tunisianet.com.tn/156860-large/station-de-travail-mobile-dell-precision-7530-i7-8e-gen-16go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1155G7, 11è Génération, up to 4.5 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","15.6""","Pc portable Gamer MSI Pulse GL66 ",6759,"https://www.tunisianet.com.tn/238766-large/pc-portable-gamer-msi-pulse-gl66-i7-12e-gen-rtx-3070-8go-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","2 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","PC Portable HP Spectre x360 Convertible 14-ea1002nk Tactile ",6579,"https://www.tunisianet.com.tn/242274-large/pc-portable-hp-spectre-x360-convertible-14-ea1002nk-tactile-i7-11e-gen-32-go-2-to-ssd.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","64 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 2080, 8 Go de mémoire dédiée","15.6""","Pc portable HP OMEN 15-dh1005nk ",6459,"https://www.tunisianet.com.tn/186411-large/pc-portable-hp-omen-15-dh1005nk-i9-10e-gen-64-go-1-jeu-offert.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","64 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable HP OMEN 17-ck0000nk ",6385,"https://www.tunisianet.com.tn/252650-large/pc-portable-hp-omen-17-ck0000nk-i7-11e-gen-64-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 2080, 8 Go de mémoire dédiée","15.6""","Pc portable HP OMEN 15-dh1005nk ",6229,"https://www.tunisianet.com.tn/186406-large/pc-portable-hp-omen-15-dh1005nk-i9-10e-gen-48-go-1-jeu-offert.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","64 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","PC Portable HP OMEN 17-ck0008nk ",6199,"https://www.tunisianet.com.tn/252317-large/pc-portable-hp-omen-17-ck0008nk-i7-11e-gen-64-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable HP OMEN 17-ck0000nk ",6145,"https://www.tunisianet.com.tn/252657-large/pc-portable-hp-omen-17-ck0000nk-i7-11e-gen-48-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","15.6""","Pc portable MSI Leopard GP66-10UG ",6099,"https://www.tunisianet.com.tn/236968-large/pc-portable-msi-leopard-gp66-10ug-i7-10e-gen-16-go-sac-a-dos-msi-urban-rider.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 10","Intel Core i5","Intel Core i5-1155G7, 11è Génération, up to 4.5 Ghz, 8 Mo de mémoire cache","32 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 2080, 8 Go de mémoire dédiée","15.6""","Pc portable HP OMEN 15-dh1005nk ",5999,"https://www.tunisianet.com.tn/186401-large/pc-portable-hp-omen-15-dh1005nk-i9-10e-gen-32-go-1-jeu-offert.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","48 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","PC Portable HP OMEN 17-ck0008nk ",5959,"https://www.tunisianet.com.tn/252312-large/pc-portable-hp-omen-17-ck0008nk-i7-11e-gen-48-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable HP OMEN 17-ck0000nk ",5905,"https://www.tunisianet.com.tn/252662-large/pc-portable-hp-omen-17-ck0000nk-i7-11e-gen-32-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable HP OMEN 17-ck0000nk ",5780,"https://www.tunisianet.com.tn/252663-large/pc-portable-hp-omen-17-ck0000nk-i7-11e-gen-24-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","PC Portable HP OMEN 17-ck0008nk ",5719,"https://www.tunisianet.com.tn/252310-large/pc-portable-hp-omen-17-ck0008nk-i7-11e-gen-32-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","Pc portable HP OMEN 17-ck0000nk ",5659,"https://www.tunisianet.com.tn/252698-large/pc-portable-hp-omen-17-ck0000nk-i7-11e-gen-16-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","PC Portable HP OMEN 17-ck0008nk ",5594,"https://www.tunisianet.com.tn/252305-large/pc-portable-hp-omen-17-ck0008nk-i7-11e-gen-24-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","PC Portable Lenovo ThinkPad T14 Gen 2 ",5499,"https://www.tunisianet.com.tn/256826-large/pc-portable-lenovo-thinkpad-t14-gen-2-i7-11e-gen-16-go-1-to-ssd.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","AMD Ryzen 7","AMD Ryzen 7 3700U , 2,3 GHz up to 4 GHz, 6 Mo de mémoire cache","24 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce GTX 1660 Ti, 6 Go de mémoire dédiée","15.6""","Pc portable Lenovo Legion S7 15IMH5 ",5479,"https://www.tunisianet.com.tn/236021-large/pc-portable-lenovo-legion-s7-15imh5-i7-10e-gen-24-go-noir.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 2070, 8 Go de mémoire dédiée","15.6""","Pc portable Lenovo Legion 7 15IMHg05 ",5479,"https://www.tunisianet.com.tn/241090-large/pc-portable-lenovo-legion-7-15imhg05-i7-10e-gen-16-go-noir.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","17.3""","PC Portable HP OMEN 17-ck0008nk ",5469,"https://www.tunisianet.com.tn/252300-large/pc-portable-hp-omen-17-ck0008nk-i7-11e-gen-16-go-rtx-3070-8g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-10510U 10è Génération , 1.8 Ghz up to 4.9 GHz, 8 Mo de cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce GTX 1660 Ti, 6 Go de mémoire dédiée","15.6""","Pc portable Lenovo Legion S7 15IMH5 ",5389,"https://www.tunisianet.com.tn/252649-large/pc-portable-lenovo-legion-s7-15imh5-i7-10e-gen-16-go-noir.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i7","Intel Core i7-10510U 10è Génération , 1.8 Ghz up to 4.9 GHz, 8 Mo de cache","64 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 2080, 8 Go de mémoire dédiée","15.6""","Pc portable HP OMEN 15-dh1006nk ",5229,"https://www.tunisianet.com.tn/186466-large/pc-portable-hp-omen-15-dh1006nk-i7-10e-gen-64-go-1-jeu-offert.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1155G7, 11è Génération, up to 4.5 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","17.3""","Pc portable Gamer MSI Katana GF76 ",5219,"https://www.tunisianet.com.tn/236976-large/pc-portable-gamer-msi-katana-gf76-i7-11e-gen-rtx-3060-6g-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","8 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","14""","Portable Lenovo ThinkPad T14s Gen 2 ",5199,"https://www.tunisianet.com.tn/229925-large/portable-lenovo-thinkpad-t14s-gen-2-i7-11e-gen-8-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","16""","Pc Portable Gaming HP OMEN 16-c0001nk ",5159,"https://www.tunisianet.com.tn/243158-large/pc-portable-gaming-hp-omen-16-c0001nk-ryzen-7-5800h-16-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","nVIDIA GeForce MX450, 2 Go de mémoire dédiée","14""","Pc portable ASUS Zenbook Duo UX482EG-HY261T ",5099,"https://www.tunisianet.com.tn/230043-large/pc-portable-asus-zenbook-duo-ux482eg-hy261t-i7-11e-gen-16-go-bleu-fonce.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc portable Asus ExpertBook B9 B9400CEA ",4999,"https://www.tunisianet.com.tn/241698-large/pc-portable-asus-expertbook-b9-b9400cea-i7-11e-gen-16-go-win-10-pro.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","15.6""","PC Portable Lenovo Legion 5 15ITH6H ",4979,"https://www.tunisianet.com.tn/257314-large/pc-portable-lenovo-legion-5-15ith6h-i7-11800h-rtx-3060-6gb-16-go-noir-souris-lenovo-legion-m300-rgb-gaming-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3070, 8 Go de mémoire Dédiée","15.6""","Pc portable HP Omen Gaming 15-en1001nk ",4959,"https://www.tunisianet.com.tn/242170-large/pc-portable-hp-omen-gaming-15-en1001nk-ryzen-7-5800h-rtx-3070-8g-16-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","1 To SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc portable Asus ExpertBook B7 Flip Tactile ",4899,"https://www.tunisianet.com.tn/241714-large/pc-portable-asus-expertbook-b7-flip-tactile-i7-11e-gen-16-go-win-11.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","15.6""","PC Portable Lenovo Legion 5 15ITH6H ",4819,"https://www.tunisianet.com.tn/257322-large/pc-portable-lenovo-legion-5-15ith6h-i7-11800h-rtx-3060-6gb-16-go-512-go-ssd-noir-souris-lenovo-legion-m300-rgb-gaming-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i3","Intel Core i3-1115G4, 11è Génération, 1.7 Ghz up to 4.1, 6 Mo de mémoire cache","32 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","PC Portable HP Victus 16-d0000nk ",4799,"https://www.tunisianet.com.tn/257766-large/pc-portable-hp-victus-16-d0000nk-i7-11800h-32-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP ENVY 15-ep1144nf ",4789,"https://www.tunisianet.com.tn/242217-large/pc-portable-hp-envy-15-ep1144nf-i5-11e-gen-rtx-3050-ti-4g-16-go-gris.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-10510U 10è Génération , 1.8 Ghz up to 4.9 GHz, 8 Mo de cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","13.3""","Pc portable ASUS ZenBook Flip S UX371EA Tactile  ",4739,"https://www.tunisianet.com.tn/241781-large/pc-portable-asus-zenbook-flip-s-ux371ea-tactile-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","32 Go","1 To","Nvidia GeForce","Nvidia GeForce RTX 2080, 8 Go de mémoire dédiée","15.6""","Pc portable HP OMEN 15-dh1006nk ",4729,"https://www.tunisianet.com.tn/186461-large/pc-portable-hp-omen-15-dh1006nk-i7-10e-gen-32-go-1-jeu-offert.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","17.3""","Pc portable Gamer MSI Katana GF76 ",4719,"https://www.tunisianet.com.tn/237206-large/pc-portable-gamer-msi-katana-gf76-i7-11e-gen-rtx-3060-6g-16-go.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel UHD Graphics","13.3""","Pc Portable Dell Latitude 7320 ",4699,"https://www.tunisianet.com.tn/233413-large/pc-portable-dell-latitude-7320-i7-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","64 Go","1 To SSD","Nvidia GeForce","Nvidia GeForce RTX 3060, 6 Go de mémoire dédiée","16""","Pc portable HP Victus 16-e0006nk ",4689,"https://www.tunisianet.com.tn/250271-large/pc-portable-hp-victus-16-e0006nk-ryzen-7-5800h-64-go-rtx-3060-6g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
